iter	Passed	Remaining
533	3208	2800
534	3212	2792
535	3221	2788
536	3226	2782
537	3232	2775
538	3237	2768
539	3241	2761
540	3245	2753
541	3254	2750
542	3258	2742
543	3267	2738
544	3273	2732
545	3277	2725
546	3287	2722
547	3292	2715
548	3303	2713
549	3311	2709
550	3316	2702
551	3324	2698
552	3333	2694
553	3342	2691
554	3349	2685
555	3353	2677
556	3356	2669
557	3360	2661
558	3368	2657
559	3379	2655
560	3385	2649
561	3390	2642
562	3396	2636
563	3402	2630
564	3405	2621
565	3410	2614
566	3431	2620
567	3435	2613
568	3440	2605
569	3446	2600
570	3451	2593
571	3454	2584
572	3463	2581
573	3469	2574
574	3472	2566
575	3478	2560
576	3482	2552
577	3485	2544
578	3490	2537
579	3497	2532
580	3502	2525
581	3505	2517
582	3512	2512
583	3517	2505
584	3519	2496
585	3528	2493
586	3531	2485
587	3535	2477
588	3543	2472
589	3547	2465
590	3550	2457
591	3557	2451
592	3563	2445
593	3566	2437
594	3577	2434
595	3584	2429
596	3587	2421
597	3592	2414
598	3596	2407
599	3603	2402
600	3608	2395
601	3612	2388
602	3620	2383
603	3624	2376
604	3628	2369
605	3635	2363
606	3640	2357
607	3644	2349
608	3648	2342
609	3653	2336
610	3656	2328
611	3660	2320
612	3666	2314
613	3671	2308
614	3674	2300
615	3681	2294
616	3685	2287
617	3689	2280
618	3690	2271
619	3695	2264
620	3701	2259
621	3705	2252
622	3711	2245
623	3716	2239
624	3722	2233
625	3727	2227
626	3733	2220
627	3738	2214
628	3743	2208
629	3748	2201
630	3752	2194
631	3758	2188
632	3767	2184
633	3774	2178
634	3780	2173
635	3785	2166
636	3789	2159
637	3791	2151
638	3794	2143
639	3797	2136
640	3813	2135
641	3816	2128
642	3819	2120
643	3837	2121
644	3841	2114
645	3850	2110
646	3861	2106
647	3882	2108
648	3900	2109
649	3903	2101
650	3919	2101
651	3922	2093
652	3931	2089
653	3942	2085
654	3946	2078
655	3962	2077
656	3982	2079
657	3995	2076
658	4000	2069
659	4020	2071
660	4038	2071
661	4043	2064
662	4048	2057
663	4067	2058
664	4073	2052
665	4078	2045
666	4091	2042
667	4099	2037
668	4103	2030
669	4106	2022
670	4109	2014
671	4113	2007
672	4119	2001
673	4121	1993
674	4124	1986
675	4127	1978
676	4145	1977
